Timestamp,Uso de CPU (%),Uso de Memória (%),Clientes Ativos,Última Mensagem
2024-12-13 12:08:19,0.0,75.6,1,
2024-12-13 12:08:49,25.9,75.7,1,
2024-12-13 12:09:19,15.4,75.5,1,
2024-12-13 12:09:43,0.0,78.3,2,boa tarde
2024-12-13 12:09:49,13.8,75.2,2,
2024-12-13 12:10:19,18.8,75.5,2,
2024-12-13 12:10:49,13.4,76.2,2,
2024-12-13 12:11:19,13.9,75.2,2,
2024-12-13 12:11:49,5.4,75.1,2,
2024-12-13 12:12:19,22.3,75.3,2,
2024-12-13 12:12:49,15.3,75.0,2,
2024-12-13 12:12:51,15.0,75.0,2,dwad
2024-12-13 12:13:19,14.7,76.7,2,
2024-12-13 12:13:49,30.8,74.5,2,
2024-12-13 12:14:19,7.9,74.3,2,
2024-12-13 12:14:49,19.0,74.7,2,
2024-12-13 12:15:19,13.0,76.6,2,
2024-12-13 12:15:49,15.8,74.5,2,
2024-12-13 12:16:19,14.0,74.7,2,
2024-12-13 12:16:49,21.8,77.7,2,
2024-12-13 12:17:19,12.5,74.6,2,
2024-12-13 12:17:49,9.2,74.7,2,
2024-12-13 12:18:19,19.6,77.9,2,
2024-12-13 12:18:49,12.7,75.9,2,
2024-12-13 12:19:19,27.5,77.1,2,
2024-12-13 12:19:49,9.6,73.5,2,
2024-12-13 12:20:19,27.4,78.4,2,
2024-12-13 12:20:49,25.2,77.3,2,
2024-12-13 12:21:19,15.5,77.3,2,
2024-12-13 12:21:49,13.0,77.2,2,
2024-12-13 12:22:19,14.4,77.3,2,
2024-12-13 12:22:49,19.8,77.3,2,
2024-12-13 12:23:19,25.0,78.0,2,
2024-12-13 12:23:49,27.9,73.1,2,
2024-12-13 12:24:19,46.2,75.7,2,
2024-12-13 12:24:49,24.2,75.0,2,
2024-12-13 12:25:19,9.8,75.1,2,
2024-12-13 12:25:49,42.3,77.7,2,
2024-12-13 12:26:19,22.4,80.2,2,
2024-12-13 12:26:49,16.2,77.2,2,
2024-12-13 12:27:19,16.6,76.7,2,
2024-12-13 12:27:49,22.3,76.8,2,
2024-12-13 12:28:20,20.6,76.9,2,
2024-12-13 12:28:50,23.6,78.4,2,
